Edition Journaux
Jour;Pièce;Libellé de l'écriture;Compte;Intitulé;Débit;Crédit
;;;VE;Janvier 2024
1;FAC00001487;FACTURE CLIENT;70600000;PRESTATIONS DE SERVICES 20%;0;823,55
1;FAC00001487;FACTURE CLIENT;44571000;TVA COLLECTEE;0;164,71
1;FAC00001487;FACTURE CLIENT;CKEQING;HOTEL KEQING;988,26;0
1;FAC00001484;FACTURE CLIENT;70600000;PRESTATIONS DE SERVICES 20%;0;456,8
1;FAC00001484;FACTURE CLIENT;44571000;TVA COLLECTEE;0;91,36
1;FAC00001484;FACTURE CLIENT;CGANYU;HOTEL GANYU;548,16;0
1;FAC00001483;FACTURE CLIENT;70600000;PRESTATIONS DE SERVICES 20%;0;1406,8
1;FAC00001483;FACTURE CLIENT;44571000;TVA COLLECTEE;0;281,36
1;FAC00001483;FACTURE CLIENT;CNINGGUANG;HOTEL NINGGUANG;1688,16;0
1;FAC00001489;FACTURE CLIENT;70600000;PRESTATIONS DE SERVICES 20%;0;526,53
1;FAC00001489;FACTURE CLIENT;44571000;TVA COLLECTEE;0;105,31
1;FAC00001489;FACTURE CLIENT;CHUTAO;HOTEL HU TAO;631,84;0
1;FAC00001481;FACTURE CLIENT;70600000;PRESTATIONS DE SERVICES 20%;0;109
1;FAC00001481;FACTURE CLIENT;44571000;TVA COLLECTEE;0;21,8
1;FAC00001481;FACTURE CLIENT;CKEQING;HOTEL KEQING;130,8;0
1;FAC00001480;FACTURE CLIENT;70600000;PRESTATIONS DE SERVICES 20%;0;99
1;FAC00001480;FACTURE CLIENT;44571000;TVA COLLECTEE;0;19,8
1;FAC00001480;FACTURE CLIENT;CKEQING;HOTEL KEQING;118,8;0
;;;***** Centralisation *****;;;
;;;41;Collectif client;4106,02;0
;;;44571000;TVA COLLECTEE;0;684,34
;;;70600000;PRESTATIONS DE SERVICES 20%;0;3421,68
;;;;Total Cumulé;4106,02;4106,02
;;;;Total Mois;4106,02;4106,02
;;;;Total Général;4106,02;4106,02
